"idMonitoramento","uso(%)","dtHora","nomeComponente"
"517","8.8","9/23/2023 15:57","CPU"
"520","10","9/23/2023 15:57","CPU"
"523","9.4","9/23/2023 15:57","CPU"
"526","13.5","9/23/2023 15:57","CPU"
"529","21.4","9/23/2023 15:57","CPU"
"532","7.8","9/23/2023 15:57","CPU"
"535","8.2","9/23/2023 15:57","CPU"
"538","7.4","9/23/2023 15:57","CPU"
"541","13.2","9/23/2023 15:57","CPU"
"544","21.8","9/23/2023 15:57","CPU"
"547","19.6","9/23/2023 15:57","CPU"
"550","21.1","9/23/2023 15:57","CPU"
"553","12","9/23/2023 15:57","CPU"
"556","19.9","9/23/2023 15:58","CPU"
"559","13.3","9/23/2023 15:58","CPU"
"562","10.1","9/23/2023 15:58","CPU"
"565","12.9","9/23/2023 15:58","CPU"
"568","12.1","9/23/2023 15:58","CPU"
"571","7.9","9/23/2023 15:58","CPU"
"574","14","9/23/2023 15:58","CPU"
"577","11.9","9/23/2023 15:58","CPU"
"580","7.7","9/23/2023 15:58","CPU"
"583","15.4","9/23/2023 15:58","CPU"
"586","13.8","9/23/2023 15:58","CPU"
"589","16.4","9/23/2023 15:58","CPU"
"592","28.9","9/23/2023 15:58","CPU"
"595","18.9","9/23/2023 15:58","CPU"
"598","24.5","9/23/2023 15:58","CPU"
"601","11","9/23/2023 15:58","CPU"
"604","21.8","9/23/2023 15:58","CPU"
"607","15","9/23/2023 15:58","CPU"
"610","15.1","9/23/2023 15:59","CPU"
"613","9.1","9/23/2023 15:59","CPU"
"616","10.1","9/23/2023 15:59","CPU"
"619","22.5","9/23/2023 15:59","CPU"
"622","14.9","9/23/2023 15:59","CPU"
"625","17.4","9/23/2023 15:59","CPU"
"628","12.5","9/23/2023 15:59","CPU"
"631","11.8","9/23/2023 15:59","CPU"
"634","14.1","9/23/2023 15:59","CPU"
"637","39.6","9/23/2023 15:59","CPU"
"640","25","9/23/2023 15:59","CPU"
"643","24.2","9/23/2023 15:59","CPU"
"646","22","9/23/2023 15:59","CPU"
"649","21.4","9/23/2023 15:59","CPU"
"652","22.7","9/23/2023 15:59","CPU"
"655","23.4","9/23/2023 15:59","CPU"
