"idMonitoramento","uso (%)","dtHora","nomeComponente"
"512","63.9","9/23/2023 15:57","DISK"
"515","63.9","9/23/2023 15:57","DISK"
"518","63.9","9/23/2023 15:57","DISK"
"521","63.9","9/23/2023 15:57","DISK"
"524","63.9","9/23/2023 15:57","DISK"
"527","63.9","9/23/2023 15:57","DISK"
"530","63.9","9/23/2023 15:57","DISK"
"533","63.9","9/23/2023 15:57","DISK"
"536","63.9","9/23/2023 15:57","DISK"
"539","63.9","9/23/2023 15:57","DISK"
"542","63.9","9/23/2023 15:57","DISK"
"545","63.9","9/23/2023 15:57","DISK"
"548","63.9","9/23/2023 15:57","DISK"
"551","63.9","9/23/2023 15:57","DISK"
"554","63.9","9/23/2023 15:57","DISK"
"557","63.9","9/23/2023 15:58","DISK"
"560","63.9","9/23/2023 15:58","DISK"
"563","63.9","9/23/2023 15:58","DISK"
"566","63.9","9/23/2023 15:58","DISK"
"569","63.9","9/23/2023 15:58","DISK"
"572","63.9","9/23/2023 15:58","DISK"
"575","63.9","9/23/2023 15:58","DISK"
"578","63.9","9/23/2023 15:58","DISK"
"581","63.9","9/23/2023 15:58","DISK"
"584","63.9","9/23/2023 15:58","DISK"
"587","63.9","9/23/2023 15:58","DISK"
"590","63.9","9/23/2023 15:58","DISK"
"593","63.9","9/23/2023 15:58","DISK"
"596","63.9","9/23/2023 15:58","DISK"
"599","63.9","9/23/2023 15:58","DISK"
"602","63.9","9/23/2023 15:58","DISK"
"605","63.9","9/23/2023 15:58","DISK"
"608","63.9","9/23/2023 15:58","DISK"
"611","63.9","9/23/2023 15:59","DISK"
"614","63.9","9/23/2023 15:59","DISK"
"617","63.9","9/23/2023 15:59","DISK"
"620","63.9","9/23/2023 15:59","DISK"
"623","63.9","9/23/2023 15:59","DISK"
"626","63.9","9/23/2023 15:59","DISK"
"629","63.9","9/23/2023 15:59","DISK"
"632","63.9","9/23/2023 15:59","DISK"
"635","63.9","9/23/2023 15:59","DISK"
"638","63.9","9/23/2023 15:59","DISK"
"641","63.9","9/23/2023 15:59","DISK"
"644","63.9","9/23/2023 15:59","DISK"
"647","63.9","9/23/2023 15:59","DISK"
"650","63.9","9/23/2023 15:59","DISK"
"653","63.9","9/23/2023 15:59","DISK"
"656","63.9","9/23/2023 15:59","DISK"
"659","63.9","9/23/2023 15:59","DISK"
"662","63.9","9/23/2023 15:59","DISK"
"665","63.9","9/23/2023 15:59","DISK"
"668","63.9","9/23/2023 16:00","DISK"
"671","63.9","9/23/2023 16:00","DISK"
"674","63.9","9/23/2023 16:00","DISK"
"677","63.9","9/23/2023 16:00","DISK"
"680","63.9","9/23/2023 16:00","DISK"
"683","63.9","9/23/2023 16:00","DISK"
"686","63.9","9/23/2023 16:00","DISK"
"689","63.9","9/23/2023 16:00","DISK"
"692","63.9","9/23/2023 16:00","DISK"
"695","63.9","9/23/2023 16:00","DISK"
